index,H_name,H_SUPER_PATHWAY,H_SUB_PATHWAY,BRCA_Tang#H_name,BRCA_Terunuma#H_name,COAD#H_name,DLBCL#H_name,GBM#H_name,HCC#H_name,LiCa1#H_name,LiCa2#H_name,OV#H_name,PDAC#H_name,PRAD#H_name,RC12#H_name,RC18Flow#H_name,RC18MR#H_name,RC20#H_name
1-(1-enyl-oleoyl)-2-oleoyl-GPE (P-18:1/18:1)*#Lipid#Lysoplasmalogen,1-(1-enyl-oleoyl)-2-oleoyl-GPE (P-18:1/18:1)*,Lipid,Lysoplasmalogen,NA,NA,NA,NA,NA,1-(1-enyl-oleoyl)-2-oleoyl-GPE (P-18:1/18:1)*,NA,NA,NA,NA,NA,NA,NA,NA,NA
1-(1-enyl-palmitoyl)-GPC (P-16:0)*#Lipid#Lysoplasmalogen,1-(1-enyl-palmitoyl)-GPC (P-16:0)*,Lipid,Lysoplasmalogen,NA,NA,NA,NA,NA,1-(1-enyl-palmitoyl)-GPC (P-16:0)*,NA,NA,NA,NA,NA,NA,1-(1-enyl-palmitoyl)-GPC (P-16:0)*,1-(1-enyl-palmitoyl)-GPC (P-16:0)*,1-(1-enyl-palmitoyl)-GPC (P-16:0)*
1-(1-enyl-stearoyl)-GPE (P-18:0)*#Lipid#Lysoplasmalogen,1-(1-enyl-stearoyl)-GPE (P-18:0)*,Lipid,Lysoplasmalogen,NA,NA,NA,NA,NA,1-(1-enyl-stearoyl)-GPE (P-18:0)*,NA,NA,NA,NA,NA,NA,1-(1-enyl-stearoyl)-GPE (P-18:0)*,1-(1-enyl-stearoyl)-GPE (P-18:0)*,1-(1-enyl-stearoyl)-GPE (P-18:0)*
caprate (10:0)#Lipid#Medium Chain Fatty Acid,caprate (10:0),Lipid,Medium Chain Fatty Acid,caprate (10:0),NA,NA,caprate (10:0),caprate (10:0),caprate (10:0),NA,NA,caprate (10:0),caprate (10:0),caprate (10:0),caprate (10:0),caprate (10:0),caprate (10:0),caprate (10:0)
caproate (6:0)#Lipid#Medium Chain Fatty Acid,caproate (6:0),Lipid,Medium Chain Fatty Acid,caproate (6:0),caproate (6:0),NA,caproate (6:0),NA,NA,NA,NA,caproate (6:0),caproate (6:0),caproate (6:0),caproate (6:0),NA,NA,caproate (6:0)
caprylate (8:0)#Lipid#Medium Chain Fatty Acid,caprylate (8:0),Lipid,Medium Chain Fatty Acid,caprylate (8:0),NA,NA,caprylate (8:0),NA,NA,NA,NA,caprylate (8:0),caprylate (8:0),caprylate (8:0),caprylate (8:0),NA,NA,caprylate (8:0)
heptanoate (7:0)#Lipid#Medium Chain Fatty Acid,heptanoate (7:0),Lipid,Medium Chain Fatty Acid,heptanoate (7:0),NA,NA,heptanoate (7:0),NA,NA,NA,NA,NA,heptanoate (7:0),NA,NA,NA,NA,heptanoate (7:0)
laurate (12:0)#Lipid#Medium Chain Fatty Acid,laurate (12:0),Lipid,Medium Chain Fatty Acid,laurate (12:0),laurate (12:0),NA,laurate (12:0),NA,laurate (12:0),NA,NA,laurate (12:0),laurate (12:0),laurate (12:0),laurate (12:0),laurate (12:0),laurate (12:0),laurate (12:0)
pelargonate (9:0)#Lipid#Medium Chain Fatty Acid,pelargonate (9:0),Lipid,Medium Chain Fatty Acid,pelargonate (9:0),NA,pelargonate (9:0),pelargonate (9:0),NA,NA,NA,NA,pelargonate (9:0),pelargonate (9:0),pelargonate (9:0),pelargonate (9:0),NA,NA,pelargonate (9:0)
5-dodecenoate (12:1n7)#Lipid#Medium Chain Fatty Acid,5-dodecenoate (12:1n7),Lipid,Medium Chain Fatty Acid,NA,NA,NA,NA,NA,5-dodecenoate (12:1n7),NA,NA,5-dodecenoate (12:1n7),5-dodecenoate (12:1n7),NA,NA,5-dodecenoate (12:1n7),5-dodecenoate (12:1n7),5-dodecenoate (12:1n7)
undecanoate (11:0)#Lipid#Medium Chain Fatty Acid,undecanoate (11:0),Lipid,Medium Chain Fatty Acid,NA,NA,NA,NA,NA,NA,NA,NA,NA,undecanoate (11:0),NA,NA,NA,NA,NA
cis-4-decenoate (10:1n6)*#Lipid#Medium Chain Fatty Acid,cis-4-decenoate (10:1n6)*,Lipid,Medium Chain Fatty Acid,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,cis-4-decenoate (10:1n6)*,cis-4-decenoate (10:1n6)*,cis-4-decenoate (10:1n6)*
cysteine#Amino Acid#Methionine, Cysteine, SAM and Taurine Metabolism,cysteine,Amino Acid,Methionine, Cysteine, SAM and Taurine Metabolism,cysteine,cysteine,NA,cysteine,cysteine,cysteine,NA,NA,cysteine,cysteine,cysteine,cysteine,cysteine,cysteine,cysteine
N-formylmethionine#Amino Acid#Methionine, Cysteine, SAM and Taurine Metabolism,N-formylmethionine,Amino Acid,Methionine, Cysteine, SAM and Taurine Metabolism,N-formylmethionine,N-formylmethionine,NA,N-formylmethionine,NA,N-formylmethionine,NA,NA,N-formylmethionine,NA,N-formylmethionine,NA,N-formylmethionine,N-formylmethionine,N-formylmethionine
S-methylcysteine#Amino Acid#Methionine, Cysteine, SAM and Taurine Metabolism,S-methylcysteine,Amino Acid,Methionine, Cysteine, SAM and Taurine Metabolism,S-methylcysteine,NA,NA,S-methylcysteine,NA,S-methylcysteine,NA,NA,S-methylcysteine,NA,S-methylcysteine,S-methylcysteine,S-methylcysteine,S-methylcysteine,S-methylcysteine
taurine#Amino Acid#Methionine, Cysteine, SAM and Taurine Metabolism,taurine,Amino Acid,Methionine, Cysteine, SAM and Taurine Metabolism,taurine,taurine,taurine,taurine,NA,taurine,NA,NA,taurine,taurine,taurine,taurine,taurine,taurine,taurine
homocysteine#Amino Acid#Methionine, Cysteine, SAM and Taurine Metabolism,homocysteine,Amino Acid,Methionine, Cysteine, SAM and Taurine Metabolism,NA,homocysteine,NA,homocysteine,homocysteine,NA,NA,NA,NA,homocysteine,NA,homocysteine,NA,NA,NA
methionine sulfoxide#Amino Acid#Methionine, Cysteine, SAM and Taurine Metabolism,methionine sulfoxide,Amino Acid,Methionine, Cysteine, SAM and Taurine Metabolism,NA,methionine sulfoxide,NA,methionine sulfoxide,NA,methionine sulfoxide,NA,NA,NA,methionine sulfoxide,NA,NA,methionine sulfoxide,methionine sulfoxide,methionine sulfoxide
S-adenosylmethionine (SAM)#Amino Acid#Methionine, Cysteine, SAM and Taurine Metabolism,S-adenosylmethionine (SAM),Amino Acid,Methionine, Cysteine, SAM and Taurine Metabolism,NA,S-adenosylmethionine (SAM),S-adenosylmethionine (SAM),S-adenosylmethionine (SAM),NA,NA,NA,NA,NA,NA,NA,S-adenosylmethionine (SAM),S-adenosylmethionine (SAM),S-adenosylmethionine (SAM),S-adenosylmethionine (SAM)
