index,H_name,H_SUPER_PATHWAY,H_SUB_PATHWAY,BRCA_Tang#H_name,BRCA_Terunuma#H_name,COAD#H_name,DLBCL#H_name,GBM#H_name,HCC#H_name,LiCa1#H_name,LiCa2#H_name,OV#H_name,PDAC#H_name,PRAD#H_name,RC12#H_name,RC18Flow#H_name,RC18MR#H_name,RC20#H_name
epinephrine#Amino acid#Phenylalanine and Tyrosine Metabolism,epinephrine,Amino acid,Phenylalanine and Tyrosine Metabolism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,epinephrine,NA,NA,NA
vanillylmandelate (VMA)#Amino acid#Phenylalanine and Tyrosine Metabolism,vanillylmandelate (VMA),Amino acid,Phenylalanine and Tyrosine Metabolism,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,vanillylmandelate (VMA),NA,NA,vanillylmandelate (VMA)
N-acetylphenylalanine#Amino Acid#Phenylalanine Metabolism,N-acetylphenylalanine,Amino Acid,Phenylalanine Metabolism,NA,NA,NA,N-acetylphenylalanine,NA,N-acetylphenylalanine,NA,NA,NA,NA,N-acetylphenylalanine,N-acetylphenylalanine,NA,NA,N-acetylphenylalanine
1-carboxyethylphenylalanine#Amino Acid#Phenylalanine Metabolism,1-carboxyethylphenylalanine,Amino Acid,Phenylalanine Metabolism,NA,NA,NA,NA,NA,1-carboxyethylphenylalanine,NA,NA,NA,NA,NA,NA,1-carboxyethylphenylalanine,1-carboxyethylphenylalanine,1-carboxyethylphenylalanine
1,2-dilinoleoyl-GPC (18:2/18:2)#Lipid#Phosphatidylcholine (PC),1,2-dilinoleoyl-GPC (18:2/18:2),Lipid,Phosphatidylcholine (PC),NA,NA,NA,NA,NA,1,2-dilinoleoyl-GPC (18:2/18:2),NA,NA,NA,NA,NA,NA,1,2-dilinoleoyl-GPC (18:2/18:2),1,2-dilinoleoyl-GPC (18:2/18:2),1,2-dilinoleoyl-GPC (18:2/18:2)
1,2-dioleoyl-GPC (18:1/18:1)#Lipid#Phosphatidylcholine (PC),1,2-dioleoyl-GPC (18:1/18:1),Lipid,Phosphatidylcholine (PC),NA,NA,NA,NA,NA,1,2-dioleoyl-GPC (18:1/18:1),NA,NA,NA,NA,NA,NA,NA,NA,NA
1,2-dipalmitoyl-GPC (16:0/16:0)#Lipid#Phosphatidylcholine (PC),1,2-dipalmitoyl-GPC (16:0/16:0),Lipid,Phosphatidylcholine (PC),NA,NA,NA,NA,NA,1,2-dipalmitoyl-GPC (16:0/16:0),NA,NA,NA,NA,NA,NA,1,2-dipalmitoyl-GPC (16:0/16:0),1,2-dipalmitoyl-GPC (16:0/16:0),1,2-dipalmitoyl-GPC (16:0/16:0)
1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*#Lipid#Phosphatidylcholine (PC),1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,Lipid,Phosphatidylcholine (PC),NA,NA,NA,NA,NA,1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,NA,NA,NA,NA,NA,NA,1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*
1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*#Lipid#Phosphatidylcholine (PC),1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*,Lipid,Phosphatidylcholine (PC),NA,NA,NA,NA,NA,1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*,NA,NA,NA,NA,NA,NA,1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*,1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*,1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*
1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*#Lipid#Phosphatidylcholine (PC),1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*,Lipid,Phosphatidylcholine (PC),NA,NA,NA,NA,NA,1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*,NA,NA,NA,NA,NA,NA,1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*,1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*,1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*
1-myristoyl-2-palmitoyl-GPC (14:0/16:0)#Lipid#Phosphatidylcholine (PC),1-myristoyl-2-palmitoyl-GPC (14:0/16:0),Lipid,Phosphatidylcholine (PC),NA,NA,NA,NA,NA,1-myristoyl-2-palmitoyl-GPC (14:0/16:0),NA,NA,NA,NA,NA,NA,1-myristoyl-2-palmitoyl-GPC (14:0/16:0),1-myristoyl-2-palmitoyl-GPC (14:0/16:0),1-myristoyl-2-palmitoyl-GPC (14:0/16:0)
1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*#Lipid#Phosphatidylcholine (PC),1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*,Lipid,Phosphatidylcholine (PC),NA,NA,NA,NA,NA,1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*,NA,NA,NA,NA,NA,NA,1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*,1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*,1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*
1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*#Lipid#Phosphatidylcholine (PC),1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*,Lipid,Phosphatidylcholine (PC),NA,NA,NA,NA,NA,1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*,NA,NA,NA,NA,NA,NA,1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*,1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*,1-oleoyl-2-linoleoyl-GPC (18:1/18:2)*
1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3)*#Lipid#Phosphatidylcholine (PC),1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3)*,Lipid,Phosphatidylcholine (PC),NA,NA,NA,NA,NA,1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3)*,NA,NA,NA,NA,NA,NA,1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3)*,1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3)*,1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3)*
1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)#Lipid#Phosphatidylcholine (PC),1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6),Lipid,Phosphatidylcholine (PC),NA,NA,NA,NA,NA,1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6),NA,NA,NA,NA,NA,NA,1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6),1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6),1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)
1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or 6)*#Lipid#Phosphatidylcholine (PC),1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or 6)*,Lipid,Phosphatidylcholine (PC),NA,NA,NA,NA,NA,1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or 6)*,NA,NA,NA,NA,NA,NA,1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or 6)*,1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or 6)*,1-palmitoyl-2-dihomo-linolenoyl-GPC (16:0/20:3n3 or 6)*
1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)#Lipid#Phosphatidylcholine (PC),1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6),Lipid,Phosphatidylcholine (PC),NA,NA,NA,NA,NA,1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6),NA,NA,NA,NA,NA,NA,1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6),1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6),1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)
1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)#Lipid#Phosphatidylcholine (PC),1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),Lipid,Phosphatidylcholine (PC),NA,NA,NA,NA,NA,1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),NA,NA,NA,NA,NA,NA,1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),1-palmitoyl-2-linoleoyl-GPC (16:0/18:2),1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)
1-palmitoyl-2-oleoyl-GPC (16:0/18:1)#Lipid#Phosphatidylcholine (PC),1-palmitoyl-2-oleoyl-GPC (16:0/18:1),Lipid,Phosphatidylcholine (PC),NA,NA,NA,NA,NA,1-palmitoyl-2-oleoyl-GPC (16:0/18:1),NA,NA,NA,NA,NA,NA,1-palmitoyl-2-oleoyl-GPC (16:0/18:1),1-palmitoyl-2-oleoyl-GPC (16:0/18:1),1-palmitoyl-2-oleoyl-GPC (16:0/18:1)
1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*#Lipid#Phosphatidylcholine (PC),1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*,Lipid,Phosphatidylcholine (PC),NA,NA,NA,NA,NA,1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*,NA,NA,NA,NA,NA,NA,NA,NA,1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*
1-palmitoyl-2-stearoyl-GPC (16:0/18:0)#Lipid#Phosphatidylcholine (PC),1-palmitoyl-2-stearoyl-GPC (16:0/18:0),Lipid,Phosphatidylcholine (PC),NA,NA,NA,NA,NA,1-palmitoyl-2-stearoyl-GPC (16:0/18:0),NA,NA,NA,NA,NA,NA,1-palmitoyl-2-stearoyl-GPC (16:0/18:0),1-palmitoyl-2-stearoyl-GPC (16:0/18:0),1-palmitoyl-2-stearoyl-GPC (16:0/18:0)
1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)#Lipid#Phosphatidylcholine (PC),1-stearoyl-2-arachidonoyl-GPC (18:0/20:4),Lipid,Phosphatidylcholine (PC),NA,NA,NA,NA,NA,1-stearoyl-2-arachidonoyl-GPC (18:0/20:4),NA,NA,NA,NA,NA,NA,1-stearoyl-2-arachidonoyl-GPC (18:0/20:4),1-stearoyl-2-arachidonoyl-GPC (18:0/20:4),1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)
1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6)#Lipid#Phosphatidylcholine (PC),1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6),Lipid,Phosphatidylcholine (PC),NA,NA,NA,NA,NA,1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6),NA,NA,NA,NA,NA,NA,1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6),1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6),1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6)
1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*#Lipid#Phosphatidylcholine (PC),1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*,Lipid,Phosphatidylcholine (PC),NA,NA,NA,NA,NA,1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*,NA,NA,NA,NA,NA,NA,1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*,1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*,NA
1-stearoyl-2-oleoyl-GPC (18:0/18:1)#Lipid#Phosphatidylcholine (PC),1-stearoyl-2-oleoyl-GPC (18:0/18:1),Lipid,Phosphatidylcholine (PC),NA,NA,NA,NA,NA,1-stearoyl-2-oleoyl-GPC (18:0/18:1),NA,NA,NA,NA,NA,NA,1-stearoyl-2-oleoyl-GPC (18:0/18:1),1-stearoyl-2-oleoyl-GPC (18:0/18:1),1-stearoyl-2-oleoyl-GPC (18:0/18:1)
1,2-dilinoleoyl-GPE (18:2/18:2)*#Lipid#Phosphatidylethanolamine (PE),1,2-dilinoleoyl-GPE (18:2/18:2)*,Lipid,Phosphatidylethanolamine (PE),NA,NA,NA,NA,NA,1,2-dilinoleoyl-GPE (18:2/18:2)*,NA,NA,NA,NA,NA,NA,1,2-dilinoleoyl-GPE (18:2/18:2)*,1,2-dilinoleoyl-GPE (18:2/18:2)*,1,2-dilinoleoyl-GPE (18:2/18:2)*
1,2-dipalmitoyl-GPE (16:0/16:0)*#Lipid#Phosphatidylethanolamine (PE),1,2-dipalmitoyl-GPE (16:0/16:0)*,Lipid,Phosphatidylethanolamine (PE),NA,NA,NA,NA,NA,1,2-dipalmitoyl-GPE (16:0/16:0)*,NA,NA,NA,NA,NA,NA,1,2-dipalmitoyl-GPE (16:0/16:0)*,1,2-dipalmitoyl-GPE (16:0/16:0)*,1,2-dipalmitoyl-GPE (16:0/16:0)*
1-oleoyl-2-arachidonoyl-GPE (18:1/20:4)*#Lipid#Phosphatidylethanolamine (PE),1-oleoyl-2-arachidonoyl-GPE (18:1/20:4)*,Lipid,Phosphatidylethanolamine (PE),NA,NA,NA,NA,NA,1-oleoyl-2-arachidonoyl-GPE (18:1/20:4)*,NA,NA,NA,NA,NA,NA,1-oleoyl-2-arachidonoyl-GPE (18:1/20:4)*,1-oleoyl-2-arachidonoyl-GPE (18:1/20:4)*,1-oleoyl-2-arachidonoyl-GPE (18:1/20:4)*
1-oleoyl-2-docosahexaenoyl-GPE (18:1/22:6)*#Lipid#Phosphatidylethanolamine (PE),1-oleoyl-2-docosahexaenoyl-GPE (18:1/22:6)*,Lipid,Phosphatidylethanolamine (PE),NA,NA,NA,NA,NA,1-oleoyl-2-docosahexaenoyl-GPE (18:1/22:6)*,NA,NA,NA,NA,NA,NA,1-oleoyl-2-docosahexaenoyl-GPE (18:1/22:6)*,1-oleoyl-2-docosahexaenoyl-GPE (18:1/22:6)*,1-oleoyl-2-docosahexaenoyl-GPE (18:1/22:6)*
1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*#Lipid#Phosphatidylethanolamine (PE),1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*,Lipid,Phosphatidylethanolamine (PE),NA,NA,NA,NA,NA,1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*,NA,NA,NA,NA,NA,NA,1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*,1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*,1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*
1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*#Lipid#Phosphatidylethanolamine (PE),1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*,Lipid,Phosphatidylethanolamine (PE),NA,NA,NA,NA,NA,1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*,NA,NA,NA,NA,NA,NA,1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*,1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*,1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*
1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*#Lipid#Phosphatidylethanolamine (PE),1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*,Lipid,Phosphatidylethanolamine (PE),NA,NA,NA,NA,NA,1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*,NA,NA,NA,NA,NA,NA,1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*,1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*,1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*
1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)#Lipid#Phosphatidylethanolamine (PE),1-palmitoyl-2-linoleoyl-GPE (16:0/18:2),Lipid,Phosphatidylethanolamine (PE),NA,NA,NA,NA,NA,1-palmitoyl-2-linoleoyl-GPE (16:0/18:2),NA,NA,NA,NA,NA,NA,1-palmitoyl-2-linoleoyl-GPE (16:0/18:2),1-palmitoyl-2-linoleoyl-GPE (16:0/18:2),1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)
1-palmitoyl-2-oleoyl-GPE (16:0/18:1)#Lipid#Phosphatidylethanolamine (PE),1-palmitoyl-2-oleoyl-GPE (16:0/18:1),Lipid,Phosphatidylethanolamine (PE),NA,NA,NA,NA,NA,1-palmitoyl-2-oleoyl-GPE (16:0/18:1),NA,NA,NA,NA,NA,NA,1-palmitoyl-2-oleoyl-GPE (16:0/18:1),1-palmitoyl-2-oleoyl-GPE (16:0/18:1),1-palmitoyl-2-oleoyl-GPE (16:0/18:1)
1-palmitoyl-2-stearoyl-GPE (16:0/18:0)*#Lipid#Phosphatidylethanolamine (PE),1-palmitoyl-2-stearoyl-GPE (16:0/18:0)*,Lipid,Phosphatidylethanolamine (PE),NA,NA,NA,NA,NA,1-palmitoyl-2-stearoyl-GPE (16:0/18:0)*,NA,NA,NA,NA,NA,NA,1-palmitoyl-2-stearoyl-GPE (16:0/18:0)*,1-palmitoyl-2-stearoyl-GPE (16:0/18:0)*,1-palmitoyl-2-stearoyl-GPE (16:0/18:0)*
1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)#Lipid#Phosphatidylethanolamine (PE),1-stearoyl-2-arachidonoyl-GPE (18:0/20:4),Lipid,Phosphatidylethanolamine (PE),NA,NA,NA,NA,NA,1-stearoyl-2-arachidonoyl-GPE (18:0/20:4),NA,NA,NA,NA,NA,NA,1-stearoyl-2-arachidonoyl-GPE (18:0/20:4),1-stearoyl-2-arachidonoyl-GPE (18:0/20:4),1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)
1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*#Lipid#Phosphatidylethanolamine (PE),1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*,Lipid,Phosphatidylethanolamine (PE),NA,NA,NA,NA,NA,1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*,NA,NA,NA,NA,NA,NA,NA,NA,1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*
1-stearoyl-2-oleoyl-GPE (18:0/18:1)#Lipid#Phosphatidylethanolamine (PE),1-stearoyl-2-oleoyl-GPE (18:0/18:1),Lipid,Phosphatidylethanolamine (PE),NA,NA,NA,NA,NA,1-stearoyl-2-oleoyl-GPE (18:0/18:1),NA,NA,NA,NA,NA,NA,1-stearoyl-2-oleoyl-GPE (18:0/18:1),1-stearoyl-2-oleoyl-GPE (18:0/18:1),1-stearoyl-2-oleoyl-GPE (18:0/18:1)
1-linoleoyl-2-arachidonoyl-GPE (18:2/20:4)*#Lipid#Phosphatidylethanolamine (PE),1-linoleoyl-2-arachidonoyl-GPE (18:2/20:4)*,Lipid,Phosphatidylethanolamine (PE),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1-linoleoyl-2-arachidonoyl-GPE (18:2/20:4)*,1-linoleoyl-2-arachidonoyl-GPE (18:2/20:4)*,NA
1-palmitoyl-2-oleoyl-GPG (16:0/18:1)#Lipid#Phosphatidylglycerol (PG),1-palmitoyl-2-oleoyl-GPG (16:0/18:1),Lipid,Phosphatidylglycerol (PG),NA,NA,NA,NA,NA,1-palmitoyl-2-oleoyl-GPG (16:0/18:1),NA,NA,NA,NA,NA,NA,1-palmitoyl-2-oleoyl-GPG (16:0/18:1),1-palmitoyl-2-oleoyl-GPG (16:0/18:1),1-palmitoyl-2-oleoyl-GPG (16:0/18:1)
1-stearoyl-2-oleoyl-GPG (18:0/18:1)#Lipid#Phosphatidylglycerol (PG),1-stearoyl-2-oleoyl-GPG (18:0/18:1),Lipid,Phosphatidylglycerol (PG),NA,NA,NA,NA,NA,1-stearoyl-2-oleoyl-GPG (18:0/18:1),NA,NA,NA,NA,NA,NA,1-stearoyl-2-oleoyl-GPG (18:0/18:1),1-stearoyl-2-oleoyl-GPG (18:0/18:1),NA
1-oleoyl-2-linoleoyl-GPG (18:1/18:2)*#Lipid#Phosphatidylglycerol (PG),1-oleoyl-2-linoleoyl-GPG (18:1/18:2)*,Lipid,Phosphatidylglycerol (PG),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1-oleoyl-2-linoleoyl-GPG (18:1/18:2)*
1-oleoyl-2-arachidonoyl-GPI (18:1/20:4) *#Lipid#Phosphatidylinositol (PI),1-oleoyl-2-arachidonoyl-GPI (18:1/20:4) *,Lipid,Phosphatidylinositol (PI),NA,NA,NA,NA,NA,1-oleoyl-2-arachidonoyl-GPI (18:1/20:4) *,NA,NA,NA,NA,NA,NA,NA,NA,1-oleoyl-2-arachidonoyl-GPI (18:1/20:4) *
1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*#Lipid#Phosphatidylinositol (PI),1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*,Lipid,Phosphatidylinositol (PI),NA,NA,NA,NA,NA,1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*,NA,NA,NA,NA,NA,NA,NA,NA,1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*
1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*#Lipid#Phosphatidylinositol (PI),1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*,Lipid,Phosphatidylinositol (PI),NA,NA,NA,NA,NA,1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*,NA,NA,NA,NA,NA,NA,1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*,1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*,1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*
1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)#Lipid#Phosphatidylinositol (PI),1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),Lipid,Phosphatidylinositol (PI),NA,NA,NA,NA,NA,1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),NA,NA,NA,NA,NA,NA,1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)
1-stearoyl-2-linoleoyl-GPI (18:0/18:2)#Lipid#Phosphatidylinositol (PI),1-stearoyl-2-linoleoyl-GPI (18:0/18:2),Lipid,Phosphatidylinositol (PI),NA,NA,NA,NA,NA,1-stearoyl-2-linoleoyl-GPI (18:0/18:2),NA,NA,NA,NA,NA,NA,1-stearoyl-2-linoleoyl-GPI (18:0/18:2),1-stearoyl-2-linoleoyl-GPI (18:0/18:2),NA
1-stearoyl-2-oleoyl-GPI (18:0/18:1)*#Lipid#Phosphatidylinositol (PI),1-stearoyl-2-oleoyl-GPI (18:0/18:1)*,Lipid,Phosphatidylinositol (PI),NA,NA,NA,NA,NA,1-stearoyl-2-oleoyl-GPI (18:0/18:1)*,NA,NA,NA,NA,NA,NA,NA,NA,1-stearoyl-2-oleoyl-GPI (18:0/18:1)*
1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)#Lipid#Phosphatidylinositol (PI),1-palmitoyl-2-linoleoyl-GPI (16:0/18:2),Lipid,Phosphatidylinositol (PI),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)
1-palmitoyl-2-oleoyl-GPS (16:0/18:1)#Lipid#Phosphatidylserine (PS),1-palmitoyl-2-oleoyl-GPS (16:0/18:1),Lipid,Phosphatidylserine (PS),NA,NA,NA,NA,NA,1-palmitoyl-2-oleoyl-GPS (16:0/18:1),NA,NA,NA,NA,NA,NA,1-palmitoyl-2-oleoyl-GPS (16:0/18:1),1-palmitoyl-2-oleoyl-GPS (16:0/18:1),1-palmitoyl-2-oleoyl-GPS (16:0/18:1)
1-stearoyl-2-arachidonoyl-GPS (18:0/20:4)#Lipid#Phosphatidylserine (PS),1-stearoyl-2-arachidonoyl-GPS (18:0/20:4),Lipid,Phosphatidylserine (PS),NA,NA,NA,NA,NA,1-stearoyl-2-arachidonoyl-GPS (18:0/20:4),NA,NA,NA,NA,NA,NA,1-stearoyl-2-arachidonoyl-GPS (18:0/20:4),1-stearoyl-2-arachidonoyl-GPS (18:0/20:4),1-stearoyl-2-arachidonoyl-GPS (18:0/20:4)
1-stearoyl-2-oleoyl-GPS (18:0/18:1)#Lipid#Phosphatidylserine (PS),1-stearoyl-2-oleoyl-GPS (18:0/18:1),Lipid,Phosphatidylserine (PS),NA,NA,NA,NA,NA,1-stearoyl-2-oleoyl-GPS (18:0/18:1),NA,NA,NA,NA,NA,NA,1-stearoyl-2-oleoyl-GPS (18:0/18:1),1-stearoyl-2-oleoyl-GPS (18:0/18:1),1-stearoyl-2-oleoyl-GPS (18:0/18:1)
1-palmitoyl-2-arachidonoyl-GPS (16:0/20:4)#Lipid#Phosphatidylserine (PS),1-palmitoyl-2-arachidonoyl-GPS (16:0/20:4),Lipid,Phosphatidylserine (PS),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1-palmitoyl-2-arachidonoyl-GPS (16:0/20:4)
1-stearoyl-2-linoleoyl-GPS (18:0/18:2)#Lipid#Phosphatidylserine (PS),1-stearoyl-2-linoleoyl-GPS (18:0/18:2),Lipid,Phosphatidylserine (PS),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1-stearoyl-2-linoleoyl-GPS (18:0/18:2)
choline#Lipid#Phospholipid Metabolism,choline,Lipid,Phospholipid Metabolism,choline,choline,choline,choline,NA,choline,NA,NA,choline,NA,choline,choline,choline,choline,choline
phosphocholine#Lipid#Phospholipid Metabolism,phosphocholine,Lipid,Phospholipid Metabolism,phosphocholine,phosphocholine,phosphocholine,phosphocholine,NA,phosphocholine,NA,NA,phosphocholine,phosphocholine,phosphocholine,phosphocholine,phosphocholine,phosphocholine,phosphocholine
cytidine 5'-diphosphocholine#Lipid#Phospholipid Metabolism,cytidine 5'-diphosphocholine,Lipid,Phospholipid Metabolism,cytidine 5'-diphosphocholine,cytidine 5'-diphosphocholine,cytidine 5'-diphosphocholine,cytidine 5'-diphosphocholine,NA,cytidine 5'-diphosphocholine,NA,NA,cytidine 5'-diphosphocholine,cytidine 5'-diphosphocholine,cytidine 5'-diphosphocholine,cytidine 5'-diphosphocholine,cytidine 5'-diphosphocholine,cytidine 5'-diphosphocholine,cytidine 5'-diphosphocholine
trimethylamine N-oxide#Lipid#Phospholipid Metabolism,trimethylamine N-oxide,Lipid,Phospholipid Metabolism,NA,NA,trimethylamine N-oxide,NA,NA,trimethylamine N-oxide,NA,NA,NA,NA,NA,NA,trimethylamine N-oxide,trimethylamine N-oxide,trimethylamine N-oxide
glycerophosphoinositol*#Lipid#Phospholipid Metabolism,glycerophosphoinositol*,Lipid,Phospholipid Metabolism,NA,NA,NA,NA,NA,glycerophosphoinositol*,NA,NA,NA,NA,NA,NA,glycerophosphoinositol*,glycerophosphoinositol*,glycerophosphoinositol*
glycerophosphoserine*#Lipid#Phospholipid Metabolism,glycerophosphoserine*,Lipid,Phospholipid Metabolism,NA,NA,NA,NA,NA,glycerophosphoserine*,NA,NA,NA,NA,NA,NA,glycerophosphoserine*,glycerophosphoserine*,glycerophosphoserine*
